test_id,intended_tier,domain,career_stage,major,constraint,query,generation_reason,generation_method
synth_test_001,llm_direct,회계/재무/금융,이직/경력전환,심리학,경력 부족,회계/재무/금융 직무는 실제로 어떤 일을 하나요? 취준생이 알아두면 좋은 하루 업무 흐름이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_002,llm_direct,IT개발/데이터,취업준비생(졸업예정),경영학,나이 고민,IT개발/데이터 쪽으로 취업하려면 어떤 역량이나 자격증이 도움이 될까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_003,llm_direct,회계/재무/금융,대학생 저학년,비전공(일반),지방 거주,회계/재무/금융 직무와 관련 있는 전공은 보통 어떤 게 있나요? 비전공(일반) 전공도 관련이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_004,llm_direct,서비스,대학생 저학년,행정학,졸업유예 중,서비스 분야로 커리어를 시작하려면 신입 기준으로 보통 어떤 준비를 하나요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_005,llm_direct,생산/품질/제조,대학원생,심리학,비전공,생산/품질/제조 직무의 최근 채용 트렌드나 인재상은 어떤 편인가요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_006,llm_direct,생산/품질/제조,대학생 저학년,심리학,비전공,생산/품질/제조 직무에서 주니어와 시니어의 역할 차이가 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_007,llm_direct,기타 사무,대학생 저학년,무역학,제한 없음,기타 사무 쪽 취업을 준비할 때 참고하면 좋은 사이트나 스터디 방식이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_008,llm_direct,전문/특수,이직/경력전환,산업공학,나이 고민,이직/경력전환 입장에서 전문/특수 직무를 준비할 때 일반적으로 걸리는 기간이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_009,llm_direct,전문/특수,대학원생,행정학,비전공,전문/특수 직무는 실제로 어떤 일을 하나요? 취준생이 알아두면 좋은 하루 업무 흐름이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_010,llm_direct,기타 사무,대학생 저학년,화학공학,학점 낮음,기타 사무 쪽으로 취업하려면 어떤 역량이나 자격증이 도움이 될까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_011,llm_direct,미디어,대학원생,디자인학,지방 거주,미디어 직무와 관련 있는 전공은 보통 어떤 게 있나요? 디자인학 전공도 관련이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_012,llm_direct,홍보/CSR,취업준비생(졸업예정),무역학,학점 낮음,홍보/CSR 분야로 커리어를 시작하려면 신입 기준으로 보통 어떤 준비를 하나요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_013,llm_direct,교육/상담/컨설팅,취업준비생(졸업예정),사회학,졸업유예 중,교육/상담/컨설팅 직무의 최근 채용 트렌드나 인재상은 어떤 편인가요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
