test_id,intended_tier,domain,career_stage,major,constraint,query,generation_reason,generation_method
synth_test_001,partial_with_mentor_suggest,홍보/CSR,취업준비생(졸업예정),심리학,졸업유예 중,"심리학 전공에 졸업유예 중인 취업준비생(졸업예정)인데, 홍보/CSR 직무를 준비하려면 무엇부터 시작해야 할까요?",일반 방향은 제시 가능하나 개인 전공/상황에 맞춘 조정은 멘토 확인이 필요함,template
synth_test_002,partial_with_mentor_suggest,"서비스 기획/UI,UX",취업준비생(졸업예정),컴퓨터공학,비전공,"서비스 기획/UI,UX 직무로 전환하고 싶은데 비전공 상황이라 어떤 순서로 준비하면 좋을지 고민입니다.",일반 방향은 제시 가능하나 개인 전공/상황에 맞춘 조정은 멘토 확인이 필요함,template
synth_test_003,partial_with_mentor_suggest,유통/무역/구매,취업준비생(졸업예정),산업공학,나이 고민,"취업준비생(졸업예정)이고 산업공학 전공인데, 유통/무역/구매 직무 취업을 위해 지금부터 어떤 활동을 하면 좋을까요?",일반 방향은 제시 가능하나 개인 전공/상황에 맞춘 조정은 멘토 확인이 필요함,template
synth_test_004,partial_with_mentor_suggest,기타 사무,이직/경력전환,컴퓨터공학,졸업유예 중,기타 사무 분야 인턴을 목표로 하는데 졸업유예 중라서 어떻게 접근해야 할지 방향을 잡기 어렵습니다.,일반 방향은 제시 가능하나 개인 전공/상황에 맞춘 조정은 멘토 확인이 필요함,template
synth_test_005,partial_with_mentor_suggest,공무원/비영리,대학생 저학년,경영학,경력 부족,경영학 전공자가 공무원/비영리 직무로 가려면 보통 어떤 자격증/경험을 우선순위로 두나요? 저는 경력 부족 상태입니다.,일반 방향은 제시 가능하나 개인 전공/상황에 맞춘 조정은 멘토 확인이 필요함,template
synth_test_006,partial_with_mentor_suggest,"서비스 기획/UI,UX",대학생 저학년,영어영문학,지방 거주,"서비스 기획/UI,UX 직무 준비 중인데 대학생 저학년 단계에서 놓치기 쉬운 부분이 있을까요? 저는 지방 거주입니다.",일반 방향은 제시 가능하나 개인 전공/상황에 맞춘 조정은 멘토 확인이 필요함,template
synth_test_007,partial_with_mentor_suggest,홍보/CSR,대학원생,심리학,나이 고민,"심리학 전공에 나이 고민인 대학원생인데, 홍보/CSR 직무를 준비하려면 무엇부터 시작해야 할까요?",일반 방향은 제시 가능하나 개인 전공/상황에 맞춘 조정은 멘토 확인이 필요함,template
synth_test_008,partial_with_mentor_suggest,미디어,취업준비생(졸업예정),비전공(일반),경력 부족,미디어 직무로 전환하고 싶은데 경력 부족 상황이라 어떤 순서로 준비하면 좋을지 고민입니다.,일반 방향은 제시 가능하나 개인 전공/상황에 맞춘 조정은 멘토 확인이 필요함,template
synth_test_009,partial_with_mentor_suggest,공사/공기업,취업준비생(졸업예정),경영학,비전공,"취업준비생(졸업예정)이고 경영학 전공인데, 공사/공기업 직무 취업을 위해 지금부터 어떤 활동을 하면 좋을까요?",일반 방향은 제시 가능하나 개인 전공/상황에 맞춘 조정은 멘토 확인이 필요함,template
synth_test_010,partial_with_mentor_suggest,홍보/CSR,이직/경력전환,비전공(일반),지방 거주,홍보/CSR 분야 인턴을 목표로 하는데 지방 거주라서 어떻게 접근해야 할지 방향을 잡기 어렵습니다.,일반 방향은 제시 가능하나 개인 전공/상황에 맞춘 조정은 멘토 확인이 필요함,template
synth_test_011,partial_with_mentor_suggest,인사/총무/노무,이직/경력전환,비전공(일반),지방 거주,비전공(일반) 전공자가 인사/총무/노무 직무로 가려면 보통 어떤 자격증/경험을 우선순위로 두나요? 저는 지방 거주 상태입니다.,일반 방향은 제시 가능하나 개인 전공/상황에 맞춘 조정은 멘토 확인이 필요함,template
synth_test_012,partial_with_mentor_suggest,연구/설계,사회초년생(1~3년차),컴퓨터공학,비전공,연구/설계 직무 준비 중인데 사회초년생(1~3년차) 단계에서 놓치기 쉬운 부분이 있을까요? 저는 비전공입니다.,일반 방향은 제시 가능하나 개인 전공/상황에 맞춘 조정은 멘토 확인이 필요함,template
synth_test_013,partial_with_mentor_suggest,공사/공기업,이직/경력전환,무역학,경력 부족,"무역학 전공에 경력 부족인 이직/경력전환인데, 공사/공기업 직무를 준비하려면 무엇부터 시작해야 할까요?",일반 방향은 제시 가능하나 개인 전공/상황에 맞춘 조정은 멘토 확인이 필요함,template
synth_test_014,partial_with_mentor_suggest,IT개발/데이터,대학원생,무역학,졸업유예 중,IT개발/데이터 직무로 전환하고 싶은데 졸업유예 중 상황이라 어떤 순서로 준비하면 좋을지 고민입니다.,일반 방향은 제시 가능하나 개인 전공/상황에 맞춘 조정은 멘토 확인이 필요함,template
synth_test_015,partial_with_mentor_suggest,IT개발/데이터,이직/경력전환,통계학,지방 거주,"이직/경력전환이고 통계학 전공인데, IT개발/데이터 직무 취업을 위해 지금부터 어떤 활동을 하면 좋을까요?",일반 방향은 제시 가능하나 개인 전공/상황에 맞춘 조정은 멘토 확인이 필요함,template
synth_test_016,partial_with_mentor_suggest,회계/재무/금융,이직/경력전환,디자인학,나이 고민,회계/재무/금융 분야 인턴을 목표로 하는데 나이 고민라서 어떻게 접근해야 할지 방향을 잡기 어렵습니다.,일반 방향은 제시 가능하나 개인 전공/상황에 맞춘 조정은 멘토 확인이 필요함,template
synth_test_017,partial_with_mentor_suggest,공무원/비영리,이직/경력전환,디자인학,제한 없음,디자인학 전공자가 공무원/비영리 직무로 가려면 보통 어떤 자격증/경험을 우선순위로 두나요? 저는 제한 없음 상태입니다.,일반 방향은 제시 가능하나 개인 전공/상황에 맞춘 조정은 멘토 확인이 필요함,template
synth_test_018,partial_with_mentor_suggest,미디어,대학생 저학년,컴퓨터공학,나이 고민,미디어 직무 준비 중인데 대학생 저학년 단계에서 놓치기 쉬운 부분이 있을까요? 저는 나이 고민입니다.,일반 방향은 제시 가능하나 개인 전공/상황에 맞춘 조정은 멘토 확인이 필요함,template
